"subid"	"verb"	"noun"	"dir"	"big"	"small"
"1"	"anon-1.json"	"are"	"ant"	"na"	3	2
"2"	"anon-1.json"	"are"	"bean"	"na"	3	2
"3"	"anon-1.json"	"are"	"blueberry"	"na"	3	2
"4"	"anon-1.json"	"are"	"candy"	"na"	2	2
"5"	"anon-1.json"	"are"	"earring"	"na"	3	2
"6"	"anon-1.json"	"are"	"fly"	"na"	3	2
"7"	"anon-1.json"	"are"	"hazelnut"	"na"	3	2
"8"	"anon-1.json"	"are"	"ladybug"	"na"	3	2
"9"	"anon-1.json"	"are"	"pill"	"na"	3	2
"10"	"anon-1.json"	"are"	"pin"	"na"	2	1
"11"	"anon-1.json"	"are"	"seed"	"na"	3	2
"12"	"anon-1.json"	"are"	"tack"	"na"	3	1
"13"	"anon-10.json"	"are"	"ant"	"na"	2	2
"14"	"anon-10.json"	"are"	"bean"	"na"	4	2
"15"	"anon-10.json"	"are"	"blueberry"	"na"	3	2
"16"	"anon-10.json"	"are"	"candy"	"na"	3	2
"17"	"anon-10.json"	"are"	"earring"	"na"	3	1
"18"	"anon-10.json"	"are"	"fly"	"na"	4	1
"19"	"anon-10.json"	"are"	"hazelnut"	"na"	3	1
"20"	"anon-10.json"	"are"	"ladybug"	"na"	3	3
"21"	"anon-10.json"	"are"	"pill"	"na"	3	1
"22"	"anon-10.json"	"are"	"pin"	"na"	3	1
"23"	"anon-10.json"	"are"	"seed"	"na"	4	2
"24"	"anon-10.json"	"are"	"tack"	"na"	4	3
"25"	"anon-100.json"	"are"	"ant"	"na"	3	2
"26"	"anon-100.json"	"are"	"bean"	"na"	3	2
"27"	"anon-100.json"	"are"	"blueberry"	"na"	3	2
"28"	"anon-100.json"	"are"	"candy"	"na"	3	3
"29"	"anon-100.json"	"are"	"earring"	"na"	3	3
"30"	"anon-100.json"	"are"	"fly"	"na"	3	2
"31"	"anon-100.json"	"are"	"hazelnut"	"na"	3	3
"32"	"anon-100.json"	"are"	"ladybug"	"na"	3	2
"33"	"anon-100.json"	"are"	"pill"	"na"	5	NA
"34"	"anon-100.json"	"are"	"pin"	"na"	3	2
"35"	"anon-100.json"	"are"	"seed"	"na"	3	3
"36"	"anon-100.json"	"are"	"tack"	"na"	4	2
"37"	"anon-101.json"	"are"	"ant"	"na"	5	2
"38"	"anon-101.json"	"are"	"bean"	"na"	5	2
"39"	"anon-101.json"	"are"	"blueberry"	"na"	5	2
"40"	"anon-101.json"	"are"	"candy"	"na"	5	2
"41"	"anon-101.json"	"are"	"earring"	"na"	5	2
"42"	"anon-101.json"	"are"	"fly"	"na"	5	2
"43"	"anon-101.json"	"are"	"hazelnut"	"na"	6	2
"44"	"anon-101.json"	"are"	"ladybug"	"na"	5	2
"45"	"anon-101.json"	"are"	"pill"	"na"	6	1
"46"	"anon-101.json"	"are"	"pin"	"na"	5	2
"47"	"anon-101.json"	"are"	"seed"	"na"	5	2
"48"	"anon-101.json"	"are"	"tack"	"na"	5	2
"49"	"anon-102.json"	"are"	"ant"	"na"	6	2
"50"	"anon-102.json"	"are"	"bean"	"na"	4	1
"51"	"anon-102.json"	"are"	"blueberry"	"na"	5	1
"52"	"anon-102.json"	"are"	"candy"	"na"	4	1
"53"	"anon-102.json"	"are"	"earring"	"na"	5	2
"54"	"anon-102.json"	"are"	"fly"	"na"	5	2
"55"	"anon-102.json"	"are"	"hazelnut"	"na"	4	1
"56"	"anon-102.json"	"are"	"ladybug"	"na"	5	0
"57"	"anon-102.json"	"are"	"pill"	"na"	6	1
"58"	"anon-102.json"	"are"	"pin"	"na"	5	1
"59"	"anon-102.json"	"are"	"seed"	"na"	4	1
"60"	"anon-102.json"	"are"	"tack"	"na"	6	1
"61"	"anon-106.json"	"are"	"ant"	"na"	1	2
"62"	"anon-106.json"	"are"	"bean"	"na"	2	2
"63"	"anon-106.json"	"are"	"blueberry"	"na"	2	2
"64"	"anon-106.json"	"are"	"candy"	"na"	3	2
"65"	"anon-106.json"	"are"	"earring"	"na"	2	2
"66"	"anon-106.json"	"are"	"fly"	"na"	2	2
"67"	"anon-106.json"	"are"	"hazelnut"	"na"	2	1
"68"	"anon-106.json"	"are"	"ladybug"	"na"	2	1
"69"	"anon-106.json"	"are"	"pill"	"na"	2	2
"70"	"anon-106.json"	"are"	"pin"	"na"	2	1
"71"	"anon-106.json"	"are"	"seed"	"na"	2	2
"72"	"anon-106.json"	"are"	"tack"	"na"	1	1
"73"	"anon-11.json"	"are"	"ant"	"na"	3	3
"74"	"anon-11.json"	"are"	"bean"	"na"	4	3
"75"	"anon-11.json"	"are"	"blueberry"	"na"	3	2
"76"	"anon-11.json"	"are"	"candy"	"na"	3	3
"77"	"anon-11.json"	"are"	"earring"	"na"	3	3
"78"	"anon-11.json"	"are"	"fly"	"na"	3	3
"79"	"anon-11.json"	"are"	"hazelnut"	"na"	4	3
"80"	"anon-11.json"	"are"	"ladybug"	"na"	3	3
"81"	"anon-11.json"	"are"	"pill"	"na"	3	3
"82"	"anon-11.json"	"are"	"pin"	"na"	4	3
"83"	"anon-11.json"	"are"	"seed"	"na"	4	3
"84"	"anon-11.json"	"are"	"tack"	"na"	3	3
"85"	"anon-112.json"	"are"	"ant"	"na"	3	2
"86"	"anon-112.json"	"are"	"bean"	"na"	3	1
"87"	"anon-112.json"	"are"	"blueberry"	"na"	4	2
"88"	"anon-112.json"	"are"	"candy"	"na"	2	2
"89"	"anon-112.json"	"are"	"earring"	"na"	3	2
"90"	"anon-112.json"	"are"	"fly"	"na"	3	2
"91"	"anon-112.json"	"are"	"hazelnut"	"na"	4	2
"92"	"anon-112.json"	"are"	"ladybug"	"na"	3	2
"93"	"anon-112.json"	"are"	"pill"	"na"	6	1
"94"	"anon-112.json"	"are"	"pin"	"na"	3	2
"95"	"anon-112.json"	"are"	"seed"	"na"	4	2
"96"	"anon-112.json"	"are"	"tack"	"na"	4	2
"97"	"anon-115.json"	"are"	"ant"	"na"	3	2
"98"	"anon-115.json"	"are"	"bean"	"na"	3	3
"99"	"anon-115.json"	"are"	"blueberry"	"na"	3	2
"100"	"anon-115.json"	"are"	"candy"	"na"	2	2
"101"	"anon-115.json"	"are"	"earring"	"na"	NA	3
"102"	"anon-115.json"	"are"	"fly"	"na"	3	3
