"subid"	"verb"	"big"	"small"
"1"	"anon-103.json"	"are"	2	2.25
"2"	"anon-107.json"	"are"	1.625	1.75
"3"	"anon-108.json"	"are"	2.125	2
"4"	"anon-111.json"	"are"	3.75	3.25
"5"	"anon-116.json"	"are"	2.25	2
"6"	"anon-117.json"	"are"	2	2.125
"7"	"anon-118.json"	"are"	1.875	1.875
"8"	"anon-121.json"	"are"	3.5	2.75
"9"	"anon-122.json"	"are"	1.71428571428571	2.125
"10"	"anon-126.json"	"are"	3	3
"11"	"anon-134.json"	"are"	2.125	2.625
"12"	"anon-140.json"	"are"	2.875	2.375
"13"	"anon-160.json"	"are"	2.25	2.83333333333333
"14"	"anon-168.json"	"are"	2	2.125
"15"	"anon-171.json"	"are"	3	3
"16"	"anon-172.json"	"are"	1.875	2.125
"17"	"anon-175.json"	"are"	2	2.125
"18"	"anon-182.json"	"are"	2.125	2.125
"19"	"anon-189.json"	"are"	0	0.5
"20"	"anon-201.json"	"are"	4.125	3.75
"21"	"anon-205.json"	"are"	3	2.875
"22"	"anon-207.json"	"are"	1	1
"23"	"anon-210.json"	"are"	1.5	2
"24"	"anon-211.json"	"are"	2	2
"25"	"anon-213.json"	"are"	3	3
"26"	"anon-218.json"	"are"	3.125	3.125
"27"	"anon-233.json"	"are"	1.125	1.875
"28"	"anon-234.json"	"are"	2	2.125
"29"	"anon-235.json"	"are"	2.375	2.375
"30"	"anon-243.json"	"are"	1.85714285714286	2.25
"31"	"anon-246.json"	"are"	2	2
"32"	"anon-262.json"	"are"	1.625	2
"33"	"anon-264.json"	"are"	2.5	2.5
"34"	"anon-268.json"	"are"	2.25	3.125
"35"	"anon-279.json"	"are"	1.125	3.125
"36"	"anon-284.json"	"are"	3	2.25
"37"	"anon-30.json"	"are"	3	3
"38"	"anon-56.json"	"are"	2	2.25
"39"	"anon-76.json"	"are"	2.75	2.875
"40"	"anon-84.json"	"are"	3	2.375
"41"	"anon-96.json"	"are"	2	2
