"subid"	"verb"	"noun"	"dir"	"big"	"small"
"1"	"anon-104.json"	"are"	"baby"	"na"	1	1
"2"	"anon-104.json"	"are"	"balloon"	"na"	1	1
"3"	"anon-104.json"	"are"	"bunny"	"na"	2	1
"4"	"anon-104.json"	"are"	"cake"	"na"	1	2
"5"	"anon-104.json"	"are"	"duckling"	"na"	2	2
"6"	"anon-104.json"	"are"	"elephant"	"na"	1	1
"7"	"anon-104.json"	"are"	"gnome"	"na"	2	1
"8"	"anon-104.json"	"are"	"hippo"	"na"	1	1
"9"	"anon-104.json"	"are"	"house"	"na"	2	1
"10"	"anon-104.json"	"are"	"monkey"	"na"	1	1
"11"	"anon-104.json"	"are"	"plane"	"na"	1	2
"12"	"anon-104.json"	"are"	"umbrella"	"na"	1	2
"13"	"anon-109.json"	"are"	"baby"	"na"	2	3
"14"	"anon-109.json"	"are"	"balloon"	"na"	3	3
"15"	"anon-109.json"	"are"	"bunny"	"na"	3	3
"16"	"anon-109.json"	"are"	"cake"	"na"	2	3
"17"	"anon-109.json"	"are"	"duckling"	"na"	3	3
"18"	"anon-109.json"	"are"	"elephant"	"na"	3	3
"19"	"anon-109.json"	"are"	"gnome"	"na"	3	4
"20"	"anon-109.json"	"are"	"hippo"	"na"	3	3
"21"	"anon-109.json"	"are"	"house"	"na"	3	3
"22"	"anon-109.json"	"are"	"monkey"	"na"	2	4
"23"	"anon-109.json"	"are"	"plane"	"na"	3	4
"24"	"anon-109.json"	"are"	"umbrella"	"na"	3	3
"25"	"anon-110.json"	"are"	"baby"	"na"	2	4
"26"	"anon-110.json"	"are"	"balloon"	"na"	2	NA
"27"	"anon-110.json"	"are"	"bunny"	"na"	NA	3
"28"	"anon-110.json"	"are"	"cake"	"na"	2	3
"29"	"anon-110.json"	"are"	"duckling"	"na"	1	3
"30"	"anon-110.json"	"are"	"elephant"	"na"	1	5
"31"	"anon-110.json"	"are"	"gnome"	"na"	2	3
"32"	"anon-110.json"	"are"	"hippo"	"na"	1	4
"33"	"anon-110.json"	"are"	"house"	"na"	1	5
"34"	"anon-110.json"	"are"	"monkey"	"na"	2	4
"35"	"anon-110.json"	"are"	"plane"	"na"	2	5
"36"	"anon-110.json"	"are"	"umbrella"	"na"	1	5
"37"	"anon-114.json"	"are"	"baby"	"na"	2	2
"38"	"anon-114.json"	"are"	"balloon"	"na"	2	2
"39"	"anon-114.json"	"are"	"bunny"	"na"	3	2
"40"	"anon-114.json"	"are"	"cake"	"na"	2	2
"41"	"anon-114.json"	"are"	"duckling"	"na"	3	2
"42"	"anon-114.json"	"are"	"elephant"	"na"	2	2
"43"	"anon-114.json"	"are"	"gnome"	"na"	2	2
"44"	"anon-114.json"	"are"	"hippo"	"na"	2	2
"45"	"anon-114.json"	"are"	"house"	"na"	2	2
"46"	"anon-114.json"	"are"	"monkey"	"na"	3	3
"47"	"anon-114.json"	"are"	"plane"	"na"	2	2
"48"	"anon-114.json"	"are"	"umbrella"	"na"	3	2
"49"	"anon-119.json"	"are"	"baby"	"na"	2	2
"50"	"anon-119.json"	"are"	"balloon"	"na"	3	2
"51"	"anon-119.json"	"are"	"bunny"	"na"	2	3
"52"	"anon-119.json"	"are"	"cake"	"na"	3	2
"53"	"anon-119.json"	"are"	"duckling"	"na"	2	2
"54"	"anon-119.json"	"are"	"elephant"	"na"	2	2
"55"	"anon-119.json"	"are"	"gnome"	"na"	2	2
"56"	"anon-119.json"	"are"	"hippo"	"na"	2	3
"57"	"anon-119.json"	"are"	"house"	"na"	2	3
"58"	"anon-119.json"	"are"	"monkey"	"na"	2	3
"59"	"anon-119.json"	"are"	"plane"	"na"	2	2
"60"	"anon-119.json"	"are"	"umbrella"	"na"	2	2
"61"	"anon-127.json"	"are"	"baby"	"na"	2	4
"62"	"anon-127.json"	"are"	"balloon"	"na"	3	NA
"63"	"anon-127.json"	"are"	"bunny"	"na"	4	3
"64"	"anon-127.json"	"are"	"cake"	"na"	3	4
"65"	"anon-127.json"	"are"	"duckling"	"na"	3	3
"66"	"anon-127.json"	"are"	"elephant"	"na"	3	NA
"67"	"anon-127.json"	"are"	"gnome"	"na"	2	3
"68"	"anon-127.json"	"are"	"hippo"	"na"	3	NA
"69"	"anon-127.json"	"are"	"house"	"na"	3	4
"70"	"anon-127.json"	"are"	"monkey"	"na"	1	3
"71"	"anon-127.json"	"are"	"plane"	"na"	3	NA
"72"	"anon-127.json"	"are"	"umbrella"	"na"	3	3
"73"	"anon-128.json"	"are"	"baby"	"na"	3	4
"74"	"anon-128.json"	"are"	"balloon"	"na"	3	3
"75"	"anon-128.json"	"are"	"bunny"	"na"	4	3
"76"	"anon-128.json"	"are"	"cake"	"na"	3	4
"77"	"anon-128.json"	"are"	"duckling"	"na"	3	4
"78"	"anon-128.json"	"are"	"elephant"	"na"	3	4
"79"	"anon-128.json"	"are"	"gnome"	"na"	4	3
"80"	"anon-128.json"	"are"	"hippo"	"na"	3	3
"81"	"anon-128.json"	"are"	"house"	"na"	3	4
"82"	"anon-128.json"	"are"	"monkey"	"na"	3	3
"83"	"anon-128.json"	"are"	"plane"	"na"	3	4
"84"	"anon-128.json"	"are"	"umbrella"	"na"	2	4
"85"	"anon-130.json"	"are"	"baby"	"na"	2	4
"86"	"anon-130.json"	"are"	"balloon"	"na"	3	4
"87"	"anon-130.json"	"are"	"bunny"	"na"	3	4
"88"	"anon-130.json"	"are"	"cake"	"na"	3	4
"89"	"anon-130.json"	"are"	"duckling"	"na"	3	NA
"90"	"anon-130.json"	"are"	"elephant"	"na"	3	3
"91"	"anon-130.json"	"are"	"gnome"	"na"	3	4
"92"	"anon-130.json"	"are"	"hippo"	"na"	3	4
"93"	"anon-130.json"	"are"	"house"	"na"	3	4
"94"	"anon-130.json"	"are"	"monkey"	"na"	3	3
"95"	"anon-130.json"	"are"	"plane"	"na"	2	4
"96"	"anon-130.json"	"are"	"umbrella"	"na"	3	3
"97"	"anon-132.json"	"are"	"baby"	"na"	3	5
"98"	"anon-132.json"	"are"	"balloon"	"na"	3	3
"99"	"anon-132.json"	"are"	"bunny"	"na"	2	3
"100"	"anon-132.json"	"are"	"cake"	"na"	2	3
"101"	"anon-132.json"	"are"	"duckling"	"na"	3	3
"102"	"anon-132.json"	"are"	"elephant"	"na"	3	3
"103"	"anon-132.json"	"are"	"gnome"	"na"	3	3
"104"	"anon-132.json"	"are"	"hippo"	"na"	3	3
"105"	"anon-132.json"	"are"	"house"	"na"	3	4
"106"	"anon-132.json"	"are"	"monkey"	"na"	4	3
"107"	"anon-132.json"	"are"	"plane"	"na"	2	NA
"108"	"anon-132.json"	"are"	"umbrella"	"na"	NA	4
"109"	"anon-136.json"	"are"	"baby"	"na"	3	2
"110"	"anon-136.json"	"are"	"balloon"	"na"	3	3
"111"	"anon-136.json"	"are"	"bunny"	"na"	3	3
"112"	"anon-136.json"	"are"	"cake"	"na"	3	3
"113"	"anon-136.json"	"are"	"duckling"	"na"	2	2
"114"	"anon-136.json"	"are"	"elephant"	"na"	3	3
"115"	"anon-136.json"	"are"	"gnome"	"na"	2	3
"116"	"anon-136.json"	"are"	"hippo"	"na"	2	3
"117"	"anon-136.json"	"are"	"house"	"na"	3	3
"118"	"anon-136.json"	"are"	"monkey"	"na"	3	2
"119"	"anon-136.json"	"are"	"plane"	"na"	3	3
